Name,NRIC,Age,Marital Status,Password,Salt
Michael,T8765432F,36,Single,ed273a0b8b8665f92753b0886c0530101e1cb509027709e7b7f618ffe4be1a0e,351
Jessica,S5678901G,26,Married,0e1b071e4471a5ed3dbd3ea8892630df74726cb6d57fc5ff173e8de2bf9e6373,471
John,S5678332G,28,Married,264c7da74b893828f900389bd0b41ebeca16210c11b6ce1b328514cd58773a28,823
Joe,T8785432F,36,Single,8d80a71d682ac46549e856ab6e79ad46bb39ac14b44ae9fe5b7271cc0a9ea130,826
Alice,S5678201G,26,Married,a3e02209c741ea990610923fc07002ec1f9e15be788e17b0df4e26761117702c,481
Bob,S3678332G,28,Married,0a89cdb37706919997d0fe1264b48dab4a1d818871925c2a3b9f5a31a40314bf,268
Iron Man,S3645932G,28,Married,5d14b4ba0e22daae01f52e1370e44e7ee9bb76104855fbb21b1f20745372a837,641
Hulk,T5678201G,28,Married,89f4b69fac41afb9b90ae2069121241abb8c265bdfc4e7ee2feae61f7365aef1,196
Batman,T3645932G,26,Married,5d229d727873ad4d01ed6ff95aa62b4390f2c42dd95ab0b5ceb347669ce6ad98,526
Steve,T3678332G,36,Single,3b4b16b96997747ef0350f477d83e1e6ef7fa53a05522f3bd09a77190b5c7ab6,291
Alex,T3678332K,36,Single,77e83ffb6f97c6e04bc3b70fd88ab27a88adbcb539fd484ee4ea8296433d3220,167
Reuben,T3678332L,36,Single,ca8853d48dda7e34ddbad26ad7f1e0afff693c46d8d44a13a83339ba6a478f6d,216
